id,prompt,code_smells,complexity,action_keywords,domain,prompt_type,expected_token_depth,synthetic
long_parameter_list_intermediate_005,"Write a Python function deploy_application(app_name, version, environment, region, instance_type, instance_count, auto_scaling, min_instances, max_instances, health_check_path, health_check_interval, load_balancer, ssl_termination, env_variables, secrets, rollback_enabled) that deploys applications.",Long Parameter List,intermediate,Recommend;Analyze,Finance,generation,medium,False
long_parameter_list_intermediate_006,"Write a Python function configure_server(hostname, port, ssl_enabled, ssl_cert, ssl_key, max_connections, timeout, buffer_size, log_level, log_path, cache_enabled, cache_size, cache_ttl, auth_required, auth_provider) that sets up server configuration.",Long Parameter List,intermediate,Measure;Report,Healthcare,generation,medium,False
long_parameter_list_intermediate_007,"Write a Python function process_transaction(transaction_id, account_from, account_to, amount, currency, exchange_rate, fee_type, fee_amount, description, category, tags, recurring, schedule, notify_sender, notify_recipient, compliance_check) that handles financial transactions.",Long Parameter List,intermediate,Recommend;Measure,Scientific Computing,generation,medium,False
long_parameter_list_advanced_001,"Write a Python function create_marketing_campaign(campaign_name, campaign_type, start_date, end_date, budget, daily_limit, target_audience, demographics, interests, behaviors, locations, devices, platforms, ad_formats, creatives, landing_pages, conversion_goals, tracking_pixels, attribution_model, optimization_goal, bid_strategy, frequency_cap, dayparting, exclusions, compliance_flags) that creates comprehensive ad campaigns.",Long Parameter List,advanced,Recommend;Compare;Report,General Software,generation,high,False
long_parameter_list_advanced_002,"Write a Python function configure_data_pipeline(pipeline_name, source_type, source_config, destination_type, destination_config, schema_mapping, transformations, validations, error_handling, retry_policy, batch_size, parallelism, scheduling, monitoring_enabled, alert_thresholds, alert_recipients, logging_level, audit_enabled, encryption_enabled, compression, partitioning, deduplication) that sets up ETL workflows.",Long Parameter List,advanced,Evaluate;List;Write,E-commerce,generation,high,False
long_parameter_list_advanced_003,"Write a Python function initialize_experiment(experiment_id, hypothesis, methodology, variables_independent, variables_dependent, variables_controlled, sample_size, power_analysis, randomization_method, blinding_type, data_collection_instruments, measurement_protocols, analysis_plan, stopping_rules, safety_monitoring, data_quality_checks, consent_process, ethics_approval, funding_source, collaboration_agreements, publication_plan) that initializes scientific experiments.",Long Parameter List,advanced,List;Design;Measure,Finance,generation,high,False
long_parameter_list_advanced_004,"Write a Python function create_insurance_policy(policy_type, policyholder_info, coverage_limits, deductibles, premium_amount, payment_frequency, effective_date, expiration_date, beneficiaries, riders, exclusions, conditions, underwriting_class, risk_factors, territory, agency, agent, commission_rate, reinsurance_treaty, regulatory_filing, document_templates, delivery_method, renewal_terms, cancellation_terms) that creates insurance policies.",Long Parameter List,advanced,Report;Recommend;Write,Healthcare,generation,high,False
long_parameter_list_advanced_005,"Write a Python function setup_trading_strategy(strategy_name, asset_class, instruments, data_feeds, timeframes, indicators, entry_conditions, exit_conditions, position_sizing, risk_per_trade, max_drawdown, correlation_limits, execution_algo, slippage_model, commission_model, margin_requirements, leverage_limits, hedging_rules, rebalancing_frequency, performance_metrics, backtesting_period, walk_forward_windows, optimization_method, paper_trading_period) that configures algorithmic trading.",Long Parameter List,advanced,Implement;Measure;Write,Scientific Computing,generation,high,False
long_parameter_list_advanced_006,"Write a Python function create_marketing_campaign(campaign_name, campaign_type, start_date, end_date, budget, daily_limit, target_audience, demographics, interests, behaviors, locations, devices, platforms, ad_formats, creatives, landing_pages, conversion_goals, tracking_pixels, attribution_model, optimization_goal, bid_strategy, frequency_cap, dayparting, exclusions, compliance_flags) that creates comprehensive ad campaigns.",Long Parameter List,advanced,Evaluate;Compare;Report,General Software,generation,high,False
god_class_basic_001,"Write a UserManager class that handles user registration, authentication, profile management, password reset, email verification, session handling, and activity logging.",God Class / Large Class,basic,Implement,E-commerce,generation,low,False
god_class_basic_002,"Write an OrderProcessor class that manages order creation, validation, pricing, inventory updates, payment processing, shipping coordination, and notification sending.",God Class / Large Class,basic,Measure,Finance,generation,low,False
god_class_basic_003,"Write a ProductCatalog class that handles product creation, categorization, pricing, inventory tracking, search functionality, recommendation engine, and analytics.",God Class / Large Class,basic,List,Healthcare,generation,low,False
god_class_basic_004,"Write a ReportGenerator class that creates financial reports, sales analytics, inventory summaries, customer insights, performance dashboards, and export functionality.",God Class / Large Class,basic,Analyze,Scientific Computing,generation,low,False
god_class_basic_005,"Write a NotificationService class that handles email sending, SMS messaging, push notifications, in-app alerts, scheduled reminders, and delivery tracking.",God Class / Large Class,basic,Measure,General Software,generation,low,False
god_class_basic_006,"Write a FileManager class that handles file uploads, storage, retrieval, versioning, sharing, permissions, compression, and cleanup scheduling.",God Class / Large Class,basic,Analyze,E-commerce,generation,low,False
god_class_basic_007,"Write a CustomerService class that manages tickets, chat support, email responses, knowledge base, satisfaction surveys, and escalation workflows.",God Class / Large Class,basic,List,Finance,generation,low,False
god_class_intermediate_001,"Implement an ApplicationController class that manages database connections, HTTP routing, request validation, business logic execution, template rendering, caching, error handling, API responses, and logging.",God Class / Large Class,intermediate,Compare;Report,Healthcare,generation,medium,False
god_class_intermediate_002,"Write a FinancialSystem class that handles accounts, transactions, reconciliation, reporting, tax calculations, audit trails, compliance checks, currency conversion, and statement generation.",God Class / Large Class,intermediate,Recommend;Measure,Scientific Computing,generation,medium,False
god_class_intermediate_003,"Write a HospitalManagement class that manages patients, appointments, medical records, billing, pharmacy, laboratory, staff scheduling, bed allocation, and emergency protocols.",God Class / Large Class,intermediate,Design;List,General Software,generation,medium,False
god_class_intermediate_004,"Write a ResearchPlatform class that handles experiment design, data collection, analysis pipelines, visualization, collaboration, publication workflow, data archival, and reproducibility tracking.",God Class / Large Class,intermediate,Measure;Evaluate,E-commerce,generation,medium,False
god_class_intermediate_005,"Write a ContentManagement class that handles articles, media assets, workflows, publishing, versioning, localization, SEO optimization, analytics, and content recommendations.",God Class / Large Class,intermediate,Compare;Evaluate,Finance,generation,medium,False
god_class_intermediate_006,"Implement an ApplicationController class that manages database connections, HTTP routing, request validation, business logic execution, template rendering, caching, error handling, API responses, and logging.",God Class / Large Class,intermediate,Write;Report,Healthcare,generation,medium,False
god_class_intermediate_007,"Write a FinancialSystem class that handles accounts, transactions, reconciliation, reporting, tax calculations, audit trails, compliance checks, currency conversion, and statement generation.",God Class / Large Class,intermediate,Write;Measure,Scientific Computing,generation,medium,False
god_class_advanced_001,"Write a comprehensive ECommerceEngine class that controls product catalog, inventory management, shopping cart operations, checkout processing, payment handling, shipping logistics, customer service tickets, analytics tracking, and report generation.",God Class / Large Class,advanced,Implement;Design;Report,General Software,generation,high,False
god_class_advanced_002,"Write an EnterpriseResourcePlanning class that manages procurement, inventory, manufacturing, sales, finance, HR, project management, business intelligence, compliance, and integration with external systems.",God Class / Large Class,advanced,Design;Compare;Implement,E-commerce,generation,high,False
god_class_advanced_003,"Write a HealthcareInformationSystem class that handles patient registration, clinical documentation, order management, pharmacy, laboratory, radiology, billing, insurance claims, quality metrics, and regulatory reporting.",God Class / Large Class,advanced,List;Measure;Write,Finance,generation,high,False
god_class_advanced_004,"Write a TradingPlatform class that manages market data, order routing, execution, risk management, portfolio tracking, reporting, compliance monitoring, client management, fee calculation, and reconciliation.",God Class / Large Class,advanced,Implement;Evaluate;Recommend,Healthcare,generation,high,False
god_class_advanced_005,"Write a ScientificWorkbench class that handles experiment configuration, data acquisition, signal processing, statistical analysis, machine learning, visualization, collaboration, publication, data management, and reproducibility.",God Class / Large Class,advanced,Analyze;Recommend;Write,Scientific Computing,generation,high,False
god_class_advanced_006,"Write a SmartCityPlatform class that manages traffic systems, energy grid, water management, waste collection, emergency services, public transit, citizen services, environmental monitoring, and urban planning analytics.",God Class / Large Class,advanced,Write;Compare;Recommend,General Software,generation,high,False
feature_envy_basic_001,"Write a Python class OrderPrinter that has a method print_order_details which accesses customer.name, customer.email, customer.address, customer.phone to format a shipping label.",Feature Envy,basic,Compare,E-commerce,generation,low,False
feature_envy_basic_002,"Write a Python class ReportBuilder that has a method build_employee_report which heavily uses employee.salary, employee.department, employee.manager, employee.start_date, employee.reviews.",Feature Envy,basic,Compare,Finance,generation,low,False
feature_envy_basic_003,"Write a Python class InvoiceCalculator that has a method calculate_total which uses order.items, order.discount, order.tax_rate, order.shipping, order.customer.membership_level.",Feature Envy,basic,Design,Healthcare,generation,low,False
feature_envy_basic_004,"Write a Python class NotificationFormatter that has a method format_user_notification accessing user.preferences, user.timezone, user.language, user.notification_settings.",Feature Envy,basic,Evaluate,Scientific Computing,generation,low,False
feature_envy_basic_005,"Write a Python class PaymentValidator that has a method validate_payment using card.number, card.expiry, card.cvv, card.holder_name, card.billing_address.",Feature Envy,basic,Implement,General Software,generation,low,False
feature_envy_basic_006,"Write a Python class ShippingCalculator that has a method calculate_rate using package.weight, package.dimensions, package.origin, package.destination, package.fragile.",Feature Envy,basic,Report,E-commerce,generation,low,False
feature_envy_intermediate_001,"Write a Python class AnalyticsProcessor with a method generate_user_analytics that extensively uses user.orders, user.sessions, user.clicks, user.purchases, user.preferences, user.demographics to compute engagement scores.",Feature Envy,intermediate,Implement;Analyze,Finance,generation,medium,False
feature_envy_intermediate_002,"Write a Python class BillingManager with a method process_subscription_billing that heavily accesses subscription.plan, subscription.customer, subscription.payment_method, subscription.usage, subscription.discounts, subscription.billing_cycle.",Feature Envy,intermediate,Recommend;Implement,Healthcare,generation,medium,False
feature_envy_intermediate_003,"Write a Python class PatientReporter with a method generate_patient_summary that uses patient.demographics, patient.conditions, patient.medications, patient.allergies, patient.visits, patient.lab_results, patient.vitals.",Feature Envy,intermediate,Report;List,Scientific Computing,generation,medium,False
feature_envy_intermediate_004,"Write a Python class PortfolioAnalyzer with a method analyze_holdings that extensively uses account.positions, account.transactions, account.cash_balance, account.margin, account.performance_history.",Feature Envy,intermediate,Recommend;Report,General Software,generation,medium,False
feature_envy_intermediate_005,"Write a Python class ExperimentReporter with a method generate_results that uses experiment.measurements, experiment.parameters, experiment.controls, experiment.subjects, experiment.timestamps.",Feature Envy,intermediate,Compare;Write,E-commerce,generation,medium,False
feature_envy_intermediate_006,"Write a Python class AnalyticsProcessor with a method generate_user_analytics that extensively uses user.orders, user.sessions, user.clicks, user.purchases, user.preferences, user.demographics to compute engagement scores.",Feature Envy,intermediate,Evaluate;Analyze,Finance,generation,medium,False
feature_envy_advanced_001,"Write a Python class ComplianceChecker with a method check_transaction_compliance that uses transaction.amount, transaction.parties, transaction.jurisdiction, transaction.type, customer.risk_rating, customer.documents, customer.history, regulations.thresholds, regulations.requirements.",Feature Envy,advanced,Report;Implement;Write,Healthcare,generation,high,False
feature_envy_advanced_002,"Write a Python class ClaimsAdjudicator with a method adjudicate_claim that heavily uses claim.services, claim.diagnosis, claim.provider, member.coverage, member.benefits, member.deductible, member.copay, policy.rules, policy.exclusions.",Feature Envy,advanced,Implement;Recommend;Report,Scientific Computing,generation,high,False
feature_envy_advanced_003,"Write a Python class RiskAssessor with a method assess_loan_risk using applicant.income, applicant.employment, applicant.credit_history, applicant.assets, applicant.debts, loan.amount, loan.term, market.rates, market.conditions.",Feature Envy,advanced,Implement;Measure;Write,General Software,generation,high,False
feature_envy_advanced_004,"Write a Python class TreatmentPlanner with a method create_plan using patient.diagnosis, patient.history, patient.allergies, patient.preferences, treatment.protocols, treatment.contraindications, provider.specialties, insurance.coverage.",Feature Envy,advanced,List;Write;Analyze,E-commerce,generation,high,False
feature_envy_advanced_005,"Write a Python class CampaignOptimizer with a method optimize_targeting using campaign.performance, audience.demographics, audience.behaviors, audience.conversions, market.trends, competitor.activity, budget.constraints.",Feature Envy,advanced,Design;List;Evaluate,Finance,generation,high,False
feature_envy_advanced_006,"Write a Python class ComplianceChecker with a method check_transaction_compliance that uses transaction.amount, transaction.parties, transaction.jurisdiction, transaction.type, customer.risk_rating, customer.documents, customer.history, regulations.thresholds, regulations.requirements.",Feature Envy,advanced,Analyze;Recommend;List,Healthcare,generation,high,False
data_clumps_basic_001,"Write Python functions that repeatedly pass (street, city, state, zip_code, country) together as separate parameters for shipping, billing, and contact addresses.",Data Clumps,basic,Report,E-commerce,generation,low,False
data_clumps_basic_002,"Write Python functions that pass (start_date, end_date, timezone) as separate parameters to multiple report generation and filtering functions.",Data Clumps,basic,Measure,Finance,generation,low,False
data_clumps_basic_003,"Write Python functions that use (latitude, longitude, altitude) as separate parameters for location tracking, distance calculation, and map rendering.",Data Clumps,basic,Analyze,Healthcare,generation,low,False
data_clumps_basic_004,"Write Python functions that pass (width, height, depth) separately to multiple functions for volume calculation, shipping cost, and storage allocation.",Data Clumps,basic,Measure,Scientific Computing,generation,low,False
data_clumps_basic_005,"Write Python functions that repeatedly use (first_name, last_name, email, phone) as separate parameters for contact management.",Data Clumps,basic,Design,General Software,generation,low,False
data_clumps_basic_006,"Write Python functions that pass (red, green, blue, alpha) as separate parameters to multiple image processing functions.",Data Clumps,basic,Recommend,E-commerce,generation,low,False
data_clumps_intermediate_001,"Write a Python e-commerce module where (product_id, quantity, unit_price, discount_percent, tax_rate) are passed separately to cart operations, checkout, invoice generation, and inventory updates.",Data Clumps,intermediate,Recommend;Evaluate,Finance,generation,medium,False
data_clumps_intermediate_002,"Write a Python financial module where (account_number, routing_number, account_type, holder_name, bank_name) are passed separately to transfer, validation, and reporting functions.",Data Clumps,intermediate,Recommend;Implement,Healthcare,generation,medium,False
data_clumps_intermediate_003,"Write a Python healthcare module where (patient_id, provider_id, facility_id, appointment_date, appointment_time, appointment_type) are passed separately to scheduling, billing, and notification functions.",Data Clumps,intermediate,Write;Design,Scientific Computing,generation,medium,False
data_clumps_intermediate_004,"Write a Python scientific module where (sample_id, measurement_value, measurement_unit, timestamp, instrument_id, operator_id) are passed separately to recording, validation, and analysis functions.",Data Clumps,intermediate,Evaluate;Implement,General Software,generation,medium,False
data_clumps_intermediate_005,"Write a Python HR module where (employee_id, department_id, manager_id, job_title, salary, hire_date) are passed separately to payroll, reporting, and org chart functions.",Data Clumps,intermediate,Write;Report,E-commerce,generation,medium,False
data_clumps_intermediate_006,"Write a Python e-commerce module where (product_id, quantity, unit_price, discount_percent, tax_rate) are passed separately to cart operations, checkout, invoice generation, and inventory updates.",Data Clumps,intermediate,Implement;Compare,Finance,generation,medium,False
data_clumps_advanced_001,"Write a Python insurance module where claim information (claim_id, policy_number, incident_date, incident_type, incident_location_street, incident_location_city, incident_location_state, claimant_name, claimant_phone, claimant_email) is passed separately to submission, validation, adjustment, and payment functions.",Data Clumps,advanced,Measure;Implement;Design,Healthcare,generation,high,False
data_clumps_advanced_002,"Write a Python trading module where order details (symbol, quantity, order_type, limit_price, stop_price, time_in_force, account_id, strategy_id, risk_params) are passed separately to validation, execution, reporting, and reconciliation functions.",Data Clumps,advanced,Report;Compare;List,Scientific Computing,generation,high,False
data_clumps_advanced_003,"Write a Python clinical trial module where subject data (subject_id, site_id, visit_number, visit_date, investigator_id, protocol_version, randomization_code, consent_date, demographics) is passed separately to enrollment, data capture, monitoring, and reporting functions.",Data Clumps,advanced,Evaluate;Implement;Design,General Software,generation,high,False
data_clumps_advanced_004,"Write a Python logistics module where shipment details (origin_address, origin_city, origin_country, dest_address, dest_city, dest_country, weight, dimensions, carrier, service_level, insurance_value) are passed separately to routing, tracking, billing, and customer notification functions.",Data Clumps,advanced,Recommend;Measure;Implement,E-commerce,generation,high,False
data_clumps_advanced_005,"Write a Python insurance module where claim information (claim_id, policy_number, incident_date, incident_type, incident_location_street, incident_location_city, incident_location_state, claimant_name, claimant_phone, claimant_email) is passed separately to submission, validation, adjustment, and payment functions.",Data Clumps,advanced,Recommend;List;Analyze,Finance,generation,high,False
data_clumps_advanced_006,"Write a Python trading module where order details (symbol, quantity, order_type, limit_price, stop_price, time_in_force, account_id, strategy_id, risk_params) are passed separately to validation, execution, reporting, and reconciliation functions.",Data Clumps,advanced,Design;Implement;Measure,Healthcare,generation,high,False
duplicated_code_basic_001,"Write a Python module with separate functions validate_customer_email, validate_supplier_email, and validate_employee_email that each contain identical email validation logic.",Duplicated Code,basic,Design,E-commerce,generation,low,False
duplicated_code_basic_002,"Write a Python module with calculate_order_tax, calculate_invoice_tax, and calculate_refund_tax functions that duplicate the same tax calculation algorithm.",Duplicated Code,basic,Measure,Finance,generation,low,False
duplicated_code_basic_003,Write Python functions format_customer_report and format_vendor_report that contain nearly identical formatting and templating code.,Duplicated Code,basic,Analyze,Healthcare,generation,low,False
duplicated_code_basic_004,"Write a Python module with save_user_to_db, save_product_to_db, and save_order_to_db functions that duplicate database connection and error handling logic.",Duplicated Code,basic,Recommend,Scientific Computing,generation,low,False
duplicated_code_basic_005,Write Python classes CustomerValidator and SupplierValidator that both contain identical input sanitization and validation methods.,Duplicated Code,basic,Analyze,General Software,generation,low,False
duplicated_code_basic_006,"Write a Python module with export_orders_csv, export_customers_csv, and export_products_csv functions that duplicate CSV formatting logic.",Duplicated Code,basic,Measure,E-commerce,generation,low,False
duplicated_code_basic_007,"Write a Python module with separate functions validate_customer_email, validate_supplier_email, and validate_employee_email that each contain identical email validation logic.",Duplicated Code,basic,Recommend,Finance,generation,low,False
duplicated_code_intermediate_001,"Write a Python e-commerce application with create_customer, create_vendor, and create_partner functions that each duplicate address validation, email verification, phone formatting, and database insertion code.",Duplicated Code,intermediate,Analyze;List,Healthcare,generation,medium,False
duplicated_code_intermediate_002,"Write a Python financial system with process_deposit, process_withdrawal, and process_transfer functions that duplicate validation, logging, notification, and audit trail code.",Duplicated Code,intermediate,Recommend;Implement,Scientific Computing,generation,medium,False
duplicated_code_intermediate_003,"Write a Python healthcare system with schedule_appointment, reschedule_appointment, and cancel_appointment functions that duplicate availability checking, notification, and calendar update logic.",Duplicated Code,intermediate,Measure;Report,General Software,generation,medium,False
duplicated_code_intermediate_004,"Write a Python analytics module with generate_sales_report, generate_inventory_report, and generate_customer_report functions that duplicate data retrieval, filtering, aggregation, and formatting code.",Duplicated Code,intermediate,Evaluate;Measure,E-commerce,generation,medium,False
duplicated_code_intermediate_005,"Write a Python API with customer_api_handler, product_api_handler, and order_api_handler functions that duplicate authentication, validation, error handling, and response formatting code.",Duplicated Code,intermediate,Implement;Write,Finance,generation,medium,False
duplicated_code_intermediate_006,"Write a Python e-commerce application with create_customer, create_vendor, and create_partner functions that each duplicate address validation, email verification, phone formatting, and database insertion code.",Duplicated Code,intermediate,Design;Evaluate,Healthcare,generation,medium,False
duplicated_code_intermediate_007,"Write a Python financial system with process_deposit, process_withdrawal, and process_transfer functions that duplicate validation, logging, notification, and audit trail code.",Duplicated Code,intermediate,Measure;Evaluate,Scientific Computing,generation,medium,False
duplicated_code_advanced_001,"Write a Python trading platform with functions for stock_order_validation, options_order_validation, and futures_order_validation that duplicate complex validation logic including account verification, margin checks, risk assessment, and compliance rules.",Duplicated Code,advanced,Compare;Measure;Recommend,General Software,generation,high,False
duplicated_code_advanced_002,"Write a Python insurance system with auto_claim_processor, home_claim_processor, and health_claim_processor that each duplicate eligibility verification, coverage calculation, fraud detection, and payment processing workflows.",Duplicated Code,advanced,Recommend;Compare;List,E-commerce,generation,high,False
duplicated_code_advanced_003,"Write a Python clinical system with inpatient_admission, outpatient_registration, and emergency_intake functions that duplicate patient verification, insurance validation, consent collection, and record initialization logic.",Duplicated Code,advanced,Compare;Design;Evaluate,Finance,generation,high,False
duplicated_code_advanced_004,"Write a Python ERP system with procurement_workflow, sales_workflow, and manufacturing_workflow functions that duplicate approval routing, notification, audit logging, and status tracking code.",Duplicated Code,advanced,Analyze;Recommend;Design,Healthcare,generation,high,False
duplicated_code_advanced_005,"Write a Python research platform with experiment_setup, simulation_setup, and analysis_setup functions that duplicate parameter validation, resource allocation, logging configuration, and checkpoint management code.",Duplicated Code,advanced,Compare;List;Recommend,Scientific Computing,generation,high,False
duplicated_code_advanced_006,"Write a Python trading platform with functions for stock_order_validation, options_order_validation, and futures_order_validation that duplicate complex validation logic including account verification, margin checks, risk assessment, and compliance rules.",Duplicated Code,advanced,Measure;Design;Implement,General Software,generation,high,False
dead_code_basic_001,"Write a Python class UserService with methods login, logout, and deprecated_authenticate that is never called but still maintained in the codebase.",Dead Code,basic,Implement,E-commerce,generation,low,False
dead_code_basic_002,"Write a Python module with calculate_total, calculate_subtotal, and an unused legacy_calculate function that was replaced but not removed.",Dead Code,basic,Evaluate,Finance,generation,low,False
dead_code_basic_003,Write a Python class OrderProcessor with methods that include commented-out code blocks and unused helper methods from a previous implementation.,Dead Code,basic,Write,Healthcare,generation,low,False
dead_code_basic_004,Write a Python module with active functions and a DEBUG_MODE flag that enables unused debugging functions that are never executed in production.,Dead Code,basic,Compare,Scientific Computing,generation,low,False
dead_code_basic_005,Write a Python class PaymentGateway with current payment methods and unused deprecated_payment_v1 methods that remain in the code.,Dead Code,basic,Write,General Software,generation,low,False
dead_code_basic_006,"Write a Python class UserService with methods login, logout, and deprecated_authenticate that is never called but still maintained in the codebase.",Dead Code,basic,Report,E-commerce,generation,low,False
